,column_name,value_range,null_values,predictor_type,value_type
0,Price,"(1200, 100000)",0,Continuous,int64
1,Beds,"(1.0, 8.0)",0,Continuous,float64
2,Baths,"(1.0, 11.0)",0,Continuous,float64
3,Sqft,"(300.0, 12173.0)",0,Continuous,float64
4,Stories,"(1, 96)",0,Continuous,int64
5,Units,"(1, 904)",0,Continuous,int64
6,age,"(0, 180)",0,Continuous,int64
7,latitude,"(40.503840999999994, 40.908609999999996)",0,Continuous,float64
8,longitude,"(-74.244821700000003, -73.707714900000013)",0,Continuous,float64
9,SchoolScore,"(-1.3828, 2.3969999999999998)",0,Continuous,float64
10,std_crime,"(-1.6716762308099999, 3.6639678275300001)",0,Continuous,float64
11,travel_minutes,"(0.55000000000000004, 43.93)",0,Continuous,float64
12,travel_km,"(0.079000000000000001, 43.876000000000005)",0,Continuous,float64
13,central_park_border_km,"(0.030861531009, 36.846644921100001)",0,Continuous,float64
14,washington_sq_km,"(0.20092277512499998, 32.759356139600001)",0,Continuous,float64
15,tompkins_sq_km,"(0.16775186178099999, 33.262897889199998)",0,Continuous,float64
16,travel_minutes_grand_central,"(1.3, 52.469999999999999)",0,Continuous,float64
17,travel_km_grand_central,"(0.309, 51.969999999999999)",0,Continuous,float64
18,Sqft_sq,"(90000.0, 148181929.0)",0,Continuous,float64
19,Bronx,"(0.0, 1.0)",0,Continuous,float64
20,Brooklyn,"(0.0, 1.0)",0,Continuous,float64
21,Manhattan,"(0.0, 1.0)",0,Continuous,float64
22,Queens,"(0.0, 1.0)",0,Continuous,float64
23,Staten Island,"(0.0, 1.0)",0,Continuous,float64
