,Address,Baths,Beds,Bike Room,Building Class,Built Year,Cats Only - No Dogs,Cats and Dogs Allowed,Children's Playroom,City,Cold Storage,Community Recreation Facilities,Concierge,Crime,Deck,Doorman,Elevator,Full-time Doorman,Garage Parking,Garden,Green Building,Gym,Hot Tub,Interiors,Land Lease,Laundry in Building,Live-in Super,Media Room,NYC Storm Zone 1,NYC Storm Zone 2,NYC Storm Zone 3,NYC Storm Zone 4,NYC Storm Zone 5,NYC Storm Zone 6,Package Room,Parking Available,Part-time Doorman,Patio,Pets Allowed,Police,Price,Roof Deck,School District,SchoolScore,Smoke-free,Sqft,Storage Available,Stories,Swimming Pool,Units,Valet,Valet Parking,Virtual Doorman,Waterfront,Zipcode,latitude,longitude,std_crime,age,age_sq,Stories_sq,Stories_cubed,travel_minutes,travel_km,central_park_border_km,washington_sq_km,tompkins_sq_km,travel_minutes_grand_central,travel_km_grand_central,Borough,Sqft_sq
0,1 Bond Street #PH6A,3.0,2.0,,RM,1900.0,False,True,, New York,,,,1375.0,,False,True,False,,,,,,,False,,,,,,,,,,,,False,,False,Police Precinct 9,6200000.0,,District 2,1.7612,,2500.0,,6.0,,20.0,,,,,10012.0,40.7266591,-73.9947659,-0.010137949481,116.0,13456.0,36.0,216.0,14.47,3.353,4.58012282815,0.524416389801,1.09806845495,14.52,3.358,Manhattan,6250000.0
1,1 Central Park South #1240,1.5,1.0,False,RM,1907.0,False,True,False, New York,False,False,True,2316.0,False,False,True,True,False,False,False,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 18,2500000.0,False,District 2,1.7612,False,941.0,False,19.0,False,164.0,False,False,False,False,10019.0,40.7646455,-73.974393,1.56280724441,109.0,11881.0,361.0,6859.0,20.03,10.488,0.0392566273418,4.23280011682,4.29029811679,12.92,2.619,Manhattan,885481.0
2,1 Central Park South #1310,1.0,1.0,False,RM,1907.0,False,True,False, New York,False,False,True,2316.0,False,False,True,True,False,False,False,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 18,2795000.0,False,District 2,1.7612,False,857.0,False,19.0,False,164.0,False,False,False,False,10019.0,40.7646455,-73.974393,1.56280724441,109.0,11881.0,361.0,6859.0,20.03,10.488,0.0392566273418,4.23280011682,4.29029811679,12.92,2.619,Manhattan,734449.0
3,1 Central Park South #1707,3.5,3.0,False,RM,1907.0,False,True,False, New York,False,False,True,2316.0,False,False,True,True,False,False,False,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 18,13850000.0,False,District 2,1.7612,False,2975.0,False,19.0,False,164.0,False,False,False,False,10019.0,40.7646455,-73.974393,1.56280724441,109.0,11881.0,361.0,6859.0,20.03,10.488,0.0392566273418,4.23280011682,4.29029811679,12.92,2.619,Manhattan,8850625.0
4,1 Central Park South #1740,1.5,1.0,False,RM,1907.0,False,True,False, New York,False,False,True,2316.0,False,False,True,True,False,False,False,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 18,3949000.0,False,District 2,1.7612,False,1000.0,False,19.0,False,164.0,False,False,False,False,10019.0,40.7646455,-73.974393,1.56280724441,109.0,11881.0,361.0,6859.0,20.03,10.488,0.0392566273418,4.23280011682,4.29029811679,12.92,2.619,Manhattan,1000000.0
5,1 Central Park South #1801,3.5,4.0,False,RM,1907.0,False,True,False, New York,False,False,True,2316.0,False,False,True,True,False,False,False,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 18,17900000.0,False,District 2,1.7612,False,4064.0,False,19.0,False,164.0,False,False,False,False,10019.0,40.7646455,-73.974393,1.56280724441,109.0,11881.0,361.0,6859.0,20.03,10.488,0.0392566273418,4.23280011682,4.29029811679,12.92,2.619,Manhattan,16516096.0
6,1 Central Park South #1809,4.5,4.0,False,RM,1907.0,False,True,False, New York,False,False,True,2316.0,False,False,True,True,False,False,False,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 18,58900000.0,False,District 2,1.7612,False,5655.0,False,19.0,False,164.0,False,False,False,False,10019.0,40.7645337,-73.9738925,1.56280724441,109.0,11881.0,361.0,6859.0,19.88,10.444,0.031901708383,4.24158845448,4.28437706774,12.77,2.575,Manhattan,31979025.0
7,1 Central Park South #301,4.5,3.0,False,RM,1907.0,False,True,False, New York,False,False,True,2316.0,False,False,True,True,False,False,False,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 18,29950000.0,False,District 2,1.7612,False,3500.0,False,19.0,False,164.0,False,False,False,False,10019.0,40.7646455,-73.974393,1.56280724441,109.0,11881.0,361.0,6859.0,20.03,10.488,0.0392566273418,4.23280011682,4.29029811679,12.92,2.619,Manhattan,12250000.0
8,1 Central Park South #503,2.5,2.0,False,RM,1907.0,False,True,False, New York,False,False,True,2316.0,False,False,True,True,False,False,False,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 18,10500000.0,False,District 2,1.7612,False,2000.0,False,19.0,False,164.0,False,False,False,False,10019.0,40.7646455,-73.974393,1.56280724441,109.0,11881.0,361.0,6859.0,20.03,10.488,0.0392566273418,4.23280011682,4.29029811679,12.92,2.619,Manhattan,4000000.0
9,1 Central Park South #510,2.0,2.0,False,RM,1907.0,False,True,False, New York,False,False,True,2316.0,False,False,True,True,False,False,False,True,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Police Precinct 18,5250000.0,False,District 2,1.7612,False,1192.0,False,19.0,False,164.0,False,False,False,False,10019.0,40.7646455,-73.974393,1.56280724441,109.0,11881.0,361.0,6859.0,20.03,10.488,0.0392566273418,4.23280011682,4.29029811679,12.92,2.619,Manhattan,1420864.0
