,Address,Baths,Beds,Bike Room,Building Class,Built Year,Cats Only - No Dogs,Cats and Dogs Allowed,Children's Playroom,City,Cold Storage,Community Recreation Facilities,Concierge,Crime,Deck,Doorman,Elevator,Full-time Doorman,Garage Parking,Garden,Green Building,Gym,Hot Tub,Interiors,Land Lease,Laundry in Building,Live-in Super,Media Room,NYC Storm Zone 1,NYC Storm Zone 2,NYC Storm Zone 3,NYC Storm Zone 4,NYC Storm Zone 5,NYC Storm Zone 6,Package Room,Parking Available,Part-time Doorman,Patio,Pets Allowed,Police,Price,Roof Deck,School District,SchoolScore,Smoke-free,Sqft,Storage Available,Stories,Swimming Pool,Units,Valet,Valet Parking,Virtual Doorman,Waterfront,Zipcode,latitude,longitude,std_crime,age,age_sq,Stories_sq,Stories_cubed,travel_minutes,travel_km,central_park_border_km,washington_sq_km,tompkins_sq_km,travel_minutes_grand_central,travel_km_grand_central,Borough,Sqft_sq
0,15 Park Row #11D,2.0,2.0,False,RM,1896,False,False,False, New York,False,False,False,1389,False,True,True,False,False,False,False,False,False,,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,Police Precinct 1,3695,False,District 2,1.7612,False,860.0,False,29,False,210,False,False,False,False,10038,40.711158,-74.00784,0.0132639981433,120,14400,841,24389,11.0,0.96,6.60758731002,2.3528611442,2.77919781782,17.87,8.633,Manhattan,739600.0
1,15 Park Row #20D,2.0,1.0,False,RM,1896,False,False,False, New York,False,False,False,1389,False,True,True,False,False,False,False,False,False,,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,Police Precinct 1,4050,False,District 2,1.7612,False,860.0,False,29,False,210,False,False,False,False,10038,40.711158,-74.00784,0.0132639981433,120,14400,841,24389,11.0,0.96,6.60758731002,2.3528611442,2.77919781782,17.87,8.633,Manhattan,739600.0
2,15 Park Row #9N,1.0,1.0,False,RM,1896,False,False,False, New York,False,False,False,1389,False,True,True,False,False,False,False,False,False,,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,Police Precinct 1,3695,False,District 2,1.7612,False,660.0,False,29,False,210,False,False,False,False,10038,40.711158,-74.00784,0.0132639981433,120,14400,841,24389,11.0,0.96,6.60758731002,2.3528611442,2.77919781782,17.87,8.633,Manhattan,435600.0
3,15 Park Row #21G,1.0,,False,RM,1896,False,False,False, New York,False,False,False,1389,False,True,True,False,False,False,False,False,False,,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,Police Precinct 1,2650,False,District 2,1.7612,False,437.0,False,29,False,210,False,False,False,False,10038,40.711158,-74.00784,0.0132639981433,120,14400,841,24389,11.0,0.96,6.60758731002,2.3528611442,2.77919781782,17.87,8.633,Manhattan,190969.0
4,95 Wall Street #1022,1.0,1.0,True,D5,1969,False,False,False, New York,False,True,True,1389,False,True,True,False,False,False,False,True,False,,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,Police Precinct 1,5049,True,District 2,1.7612,False,947.0,True,22,False,507,False,False,False,False,10005,40.7048897,-74.0074327,0.0132639981433,47,2209,484,10648,0.55,0.079,7.2238878863,3.00137205664,3.22771369256,17.0,8.618,Manhattan,896809.0
5,95 Wall Street #407,2.0,2.0,True,D5,1969,False,False,False, New York,False,True,True,1389,False,True,True,False,False,False,False,True,False,,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,Police Precinct 1,5679,True,District 2,1.7612,False,1079.0,True,22,False,507,False,False,False,False,10005,40.7048897,-74.0074327,0.0132639981433,47,2209,484,10648,0.55,0.079,7.2238878863,3.00137205664,3.22771369256,17.0,8.618,Manhattan,1164241.0
6,95 Wall Street #1904,1.0,,True,D5,1969,False,False,False, New York,False,True,True,1389,False,True,True,False,False,False,False,True,False,,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,Police Precinct 1,3713,True,District 2,1.7612,False,815.0,True,22,False,507,False,False,False,False,10005,40.7048897,-74.0074327,0.0132639981433,47,2209,484,10648,0.55,0.079,7.2238878863,3.00137205664,3.22771369256,17.0,8.618,Manhattan,664225.0
7,95 Wall Street #2013,1.0,,True,D5,1969,False,False,False, New York,False,True,True,1389,False,True,True,False,False,False,False,True,False,,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,Police Precinct 1,3930,True,District 2,1.7612,False,826.0,True,22,False,507,False,False,False,False,10005,40.7048897,-74.0074327,0.0132639981433,47,2209,484,10648,0.55,0.079,7.2238878863,3.00137205664,3.22771369256,17.0,8.618,Manhattan,682276.0
8,95 Wall Street #2025,1.0,,True,D5,1969,False,False,False, New York,False,True,True,1389,False,True,True,False,False,False,False,True,False,,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,Police Precinct 1,3932,True,District 2,1.7612,False,943.0,True,22,False,507,False,False,False,False,10005,40.7048897,-74.0074327,0.0132639981433,47,2209,484,10648,0.55,0.079,7.2238878863,3.00137205664,3.22771369256,17.0,8.618,Manhattan,889249.0
9,95 Wall Street #203,1.0,,True,D5,1969,False,False,False, New York,False,True,True,1389,False,True,True,False,False,False,False,True,False,,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,Police Precinct 1,2784,True,District 2,1.7612,False,495.0,True,22,False,507,False,False,False,False,10005,40.7048897,-74.0074327,0.0132639981433,47,2209,484,10648,0.55,0.079,7.2238878863,3.00137205664,3.22771369256,17.0,8.618,Manhattan,245025.0
